Date,Max Temperature (°C),Min Temperature (°C),Wind Speed (m/s),Precipitation (mm)
2/11/2024,0.89,-0.16,4,0
2/12/2024,1.06,0.11,3.2,0
2/13/2024,0.94,0,2.4,0
2/14/2024,0.89,-0.1,5,0.05
2/15/2024,1.06,0.39,3.5,0.28
2/16/2024,0.83,-0.05,4.6,0.28
2/17/2024,0.89,-0.16,4.9,0
2/18/2024,0.72,0.06,3.3,0.46
2/19/2024,0.94,0.11,6.1,0
2/20/2024,1.5,0.28,4.6,0
2/21/2024,1.17,0.11,2.1,0
2/22/2024,1.28,0,1.9,0
2/23/2024,1.39,0,1.9,0
2/24/2024,1.67,0,2.4,0
2/25/2024,1.72,0.28,3.7,0
2/26/2024,1.11,-0.1,3.5,0.58
2/27/2024,0.56,-0.32,3.1,0
2/28/2024,1,0.11,6.4,0
2/29/2024,1.72,0.33,7.2,0.48
3/1/2024,1.06,0.22,4.9,0.18
3/2/2024,0.67,-0.05,4.1,0.13
3/3/2024,0.28,-0.21,2.7,0.3
3/4/2024,0.33,-0.49,4.1,0.3
3/5/2024,0.22,0,4.4,1.22
3/6/2024,0.17,-0.21,1.9,0
3/7/2024,0.5,-0.38,2.4,0
3/8/2024,0.67,-0.43,4.1,0
3/9/2024,1.06,-0.27,6,0
3/10/2024,1.28,0.17,4.6,0
3/11/2024,1.39,0.33,2.5,0.08
3/12/2024,1.33,0.44,3.6,0.18
3/13/2024,0.94,0,6.6,0
3/14/2024,1.39,-0.32,3.1,0
3/15/2024,1.5,-0.16,1.4,0
3/16/2024,1.72,0.11,1.9,0
3/17/2024,1.94,0.39,2.5,0
3/18/2024,2.11,0.39,1.7,0
3/19/2024,2.17,0.44,2.2,0
3/20/2024,2.22,0.5,2.5,0
3/21/2024,1.72,0.83,3.2,0
3/22/2024,1.94,0.72,4.6,0
3/23/2024,1.56,0.33,3.8,1.04
3/24/2024,1.28,0.44,3.4,0
3/25/2024,1.17,0.06,2.8,0
3/26/2024,1.17,0,2.1,0.13
3/27/2024,1.39,0.28,5.5,0.2
3/28/2024,1.11,0.28,3.2,1.4
3/29/2024,1.44,0.17,2.9,0
3/30/2024,1.56,0.5,2.2,0
3/31/2024,1.56,0.17,6.6,0
4/1/2024,1.78,0.11,3.7,0
4/2/2024,2.17,0.39,2.2,0
4/3/2024,2.11,0.67,4.5,0.3
4/4/2024,1.11,0.28,4.2,2.77
4/5/2024,0.39,0.06,3.2,2.67
4/6/2024,0.78,0.06,2.2,0.18
4/7/2024,1.17,0.22,2.9,0
4/8/2024,1.28,-0.05,2.2,0
4/9/2024,1.89,0.44,2.3,0
4/10/2024,1.72,0.33,2.2,0
4/11/2024,2.39,0.56,4.7,0
4/12/2024,2.61,1.22,5.4,0.03
4/13/2024,2.72,0.89,3.8,0
4/14/2024,2.17,1.11,5.5,0
4/15/2024,1.78,0.72,4.7,0
4/16/2024,1.44,0.39,4.5,0
4/17/2024,1.22,0.17,6.4,0
4/18/2024,1.44,-0.05,3,0
4/19/2024,1.78,0.17,2.7,0
4/20/2024,2.22,0.33,3.5,0
4/21/2024,1.67,0.78,4.9,0
4/22/2024,1.78,0.11,2.5,0
4/23/2024,2.28,0.39,2.2,0
4/24/2024,2.33,0.89,3.5,0
4/25/2024,2.06,0.67,3.4,0.05
4/26/2024,1.94,0.72,6,0
4/27/2024,1.89,0.61,5.6,0
4/28/2024,1.83,0.44,3,0
4/29/2024,1.56,0.39,5.5,0.03
4/30/2024,1.33,-0.05,3.4,0
5/1/2024,1.33,0.22,4,0
5/2/2024,1.22,0.67,4.6,0.03
5/3/2024,1.89,0.33,3.4,0
5/4/2024,2.11,0.78,6.9,0.79
5/5/2024,1.39,0.67,4.4,0.64
5/6/2024,1.61,0.56,4.6,0.41
5/7/2024,1.28,0.44,6.6,0.03
5/8/2024,1.72,0.33,6.6,0
5/9/2024,2.39,0.33,2.5,0
5/10/2024,2.44,0.94,2.6,0
5/11/2024,2.78,1,2.8,0
5/12/2024,2.89,1.11,2.9,0
5/13/2024,2.61,1.28,2.5,0
5/14/2024,2.5,1.06,4.2,0
5/15/2024,2.56,0.83,3.2,0
5/16/2024,3,1.06,2.8,0
5/17/2024,2.17,1,5.7,0
5/18/2024,2.44,0.5,2.4,0
5/19/2024,1.78,0.67,5.9,0
5/20/2024,2,0.61,6,0
5/21/2024,2.06,0.39,2.7,0
5/22/2024,1.83,0.61,5.3,0.86
5/23/2024,1.72,0.44,4.5,0
5/24/2024,2.28,0.72,3.6,0
5/25/2024,2.17,0.83,4.3,0.03
5/26/2024,2.28,0.67,3.2,0
5/27/2024,2.94,1,2,0
5/28/2024,3.22,1.44,5.3,0.99
5/29/2024,2.06,1,5.9,0
5/30/2024,2.06,0.78,3.7,0
5/31/2024,2.44,0.72,2.6,0
6/1/2024,2.89,1.11,3.4,0
6/2/2024,2.67,1.33,3,0.03
6/3/2024,2.33,1.56,4.1,1.02
6/4/2024,2.83,0.89,1.8,0
6/5/2024,2.89,1.5,2.7,0
6/6/2024,3,1.33,2.3,0
6/7/2024,3.5,1.61,2.5,0
6/8/2024,3.44,1.89,3.4,0
6/9/2024,3.06,1.72,4.7,0
6/10/2024,3,1.28,2.6,0
6/11/2024,3.44,1.5,2.8,0
6/12/2024,3.06,1.5,4.2,0
6/13/2024,3.56,1.22,1.6,0
6/14/2024,3.11,1.72,4.3,0
6/15/2024,2.28,1.28,5.6,0
6/16/2024,2.28,0.78,4.6,0
6/17/2024,1.72,0.72,5.9,0.08
6/18/2024,2.28,0.56,2.9,0
6/19/2024,2.83,1.11,3.5,0
6/20/2024,3.17,1.5,2.7,0
