date,temperature,humidity,pressure,weather,wind_speed,city,country,sunrise,sunset
2025-02-05,-0.95,37,1015,few clouds,9.77,Idaho,US,2025-02-05 06:50:29,2025-02-05 16:51:37
2025-02-04,-0.95,37,1015,few clouds,9.77,Idaho,US,2025-02-05 06:50:29,2025-02-05 16:51:37
2025-02-03,-0.95,37,1015,few clouds,9.77,Idaho,US,2025-02-05 06:50:29,2025-02-05 16:51:37
2025-02-02,-0.95,37,1015,few clouds,9.77,Idaho,US,2025-02-05 06:50:29,2025-02-05 16:51:37
2025-02-01,-0.95,37,1015,few clouds,9.77,Idaho,US,2025-02-05 06:50:29,2025-02-05 16:51:37
2025-01-31,-0.95,37,1015,few clouds,9.77,Idaho,US,2025-02-05 06:50:29,2025-02-05 16:51:37
2025-01-30,-0.95,37,1015,few clouds,9.77,Idaho,US,2025-02-05 06:50:29,2025-02-05 16:51:37
2025-01-29,-0.95,37,1015,few clouds,9.77,Idaho,US,2025-02-05 06:50:29,2025-02-05 16:51:37
2025-01-28,-0.95,37,1015,few clouds,9.77,Idaho,US,2025-02-05 06:50:29,2025-02-05 16:51:37
2025-01-27,-0.95,37,1015,few clouds,9.77,Idaho,US,2025-02-05 06:50:29,2025-02-05 16:51:37
2025-01-26,-0.95,37,1015,few clouds,9.77,Idaho,US,2025-02-05 06:50:29,2025-02-05 16:51:37
2025-01-25,-0.95,37,1015,few clouds,9.77,Idaho,US,2025-02-05 06:50:29,2025-02-05 16:51:37
2025-01-24,-0.95,37,1015,few clouds,9.77,Idaho,US,2025-02-05 06:50:29,2025-02-05 16:51:37
2025-01-23,-0.95,37,1015,few clouds,9.77,Idaho,US,2025-02-05 06:50:29,2025-02-05 16:51:37
